id,lugares,cod_formato,formato,cod_categoria,categoria,cod_uo,unidade,regiao,gratis,ingresso,publico,projeto,nome,complemento,exibirdatas,tempo,tempoF,dia_da_semana,weekday,hora,destaque,data_sessao,datainicial,datafinal,tem,dispositivo,online,turno
63000013207081,15,2,cursos e oficinas,6,Artes Visuais,63,Pompeia,capital,0,0,outros,CURSOS REGULARES PRESENCIAIS 2º SEM/2023,Gravura em Metal - desenvolvimento de projetos - Intermediário,Com Helena Freddi,primeira,thisW,agora,qua,2,14h30,undefined,2023-10-04 00:00:00,2023-08-23 00:00:00,2023-11-29 00:00:00,,,0,tarde
63000013207354,15,2,cursos e oficinas,6,Artes Visuais,63,Pompeia,capital,0,0,outros,CURSOS REGULARES PRESENCIAIS 2º SEM/2023,Práticas tipográficas: experimentos gráficos com tipos móveis,Com Sílvia Nastari,primeira,thisW,agora,qua,2,19h,undefined,2023-10-04 00:00:00,2023-08-23 00:00:00,2023-11-29 00:00:00,,,0,noite
63000013207406,15,2,cursos e oficinas,6,Artes Visuais,63,Pompeia,capital,0,0,outros,CURSOS REGULARES PRESENCIAIS 2º SEM/2023,Introdução à litografia,Com Adriana Moreno,primeira,thisW,agora,qua,2,10h30,undefined,2023-10-04 00:00:00,2023-08-23 00:00:00,2023-11-29 00:00:00,,,0,manhã
63000013207445,15,2,cursos e oficinas,6,Artes Visuais,63,Pompeia,capital,0,0,outros,CURSOS REGULARES PRESENCIAIS 2º SEM/2023,Gráfica Experimental: práticas coletivas desobedientes,Com André Bonani e @RogerBeatJesus,primeira,thisW,agora,qui,3,14h30,undefined,2023-10-05 00:00:00,2023-08-24 00:00:00,2023-11-30 00:00:00,,,0,tarde
63000013207489,20,2,cursos e oficinas,6,Artes Visuais,63,Pompeia,capital,0,0,outros,CURSOS REGULARES PRESENCIAIS 2º SEM/2023,"Ateliê de Estampas: Entre Imagens, Narrativas e Oralidades",Com Adriana Amaral,primeira,thisW,agora,sáb,5,10h30,undefined,2023-10-07 00:00:00,2023-08-26 00:00:00,2023-12-02 00:00:00,,,0,manhã
63000013207818,20,2,cursos e oficinas,6,Artes Visuais,63,Pompeia,capital,0,0,outros,CURSOS REGULARES PRESENCIAIS 2º SEM/2023,IMAGEM GRÁFICA: IMPRESSORA 3D,Com AUGUSTO SAMPAIO e RICARDO AGAPÊ,primeira,thisW,agora,qui,3,19h,undefined,2023-10-05 00:00:00,2023-08-24 00:00:00,2023-11-30 00:00:00,,,0,noite
63000013207902,10,2,cursos e oficinas,6,Artes Visuais,63,Pompeia,capital,0,0,outros,CURSOS REGULARES PRESENCIAIS 2º SEM/2023,Joias de Madeira,com Gabriela Nascimento,primeira,nextW,proxima,ter,1,10h30,undefined,2023-10-10 00:00:00,2023-08-22 00:00:00,2023-11-21 00:00:00,,,0,manhã
63000013207944,10,2,cursos e oficinas,6,Artes Visuais,63,Pompeia,capital,0,0,outros,CURSOS REGULARES PRESENCIAIS 2º SEM/2023,Instalação Site-Specific - Comunicação e construção de mobiliário urbano entre s,Com Fernanda Tosta,primeira,nextW,proxima,ter,1,14h30,undefined,2023-10-10 00:00:00,2023-08-22 00:00:00,2023-11-21 00:00:00,,,0,tarde
63000013207987,10,2,cursos e oficinas,6,Artes Visuais,63,Pompeia,capital,0,0,outros,CURSOS REGULARES PRESENCIAIS 2º SEM/2023,Construção de Rabeca,Com Fernando Barroso,primeira,thisW,agora,qui,3,10h30,undefined,2023-10-05 00:00:00,2023-08-24 00:00:00,2023-11-30 00:00:00,,,0,manhã
63000013208025,15,2,cursos e oficinas,6,Artes Visuais,63,Pompeia,capital,0,0,outros,CURSOS REGULARES PRESENCIAIS 2º SEM/2023,Modelagem com papel de cabeça e busto,Com Gigi Manfrinato,primeira,thisW,agora,qua,2,19h,undefined,2023-10-04 00:00:00,2023-08-23 00:00:00,2023-11-29 00:00:00,,,0,noite
63000013208065,15,2,cursos e oficinas,6,Artes Visuais,63,Pompeia,capital,0,0,outros,CURSOS REGULARES PRESENCIAIS 2º SEM/2023,INTRODUÇÃO ÀS TÉCNICAS DA ARTE DE MARCHETARIA MACIÇA,Com Rinaldo Ferrucio,primeira,thisW,agora,qui,3,19h,undefined,2023-10-05 00:00:00,2023-08-24 00:00:00,2023-11-30 00:00:00,,,0,noite
63000013208103,12,2,cursos e oficinas,6,Artes Visuais,63,Pompeia,capital,0,0,outros,CURSOS REGULARES PRESENCIAIS 2º SEM/2023,Marcenaria Lúdica - Fabricação de Brinquedos,Com Luis Guimarães,primeira,thisW,agora,sex,4,10h30,undefined,2023-10-06 00:00:00,2023-08-25 00:00:00,2023-12-01 00:00:00,,,0,manhã
63000013208141,20,2,cursos e oficinas,6,Artes Visuais,63,Pompeia,capital,0,0,outros,CURSOS REGULARES PRESENCIAIS 2º SEM/2023,Cabaças e Nós: sentindo a construção de xequerês,Com Silvana Aparecida dos Santos,primeira,thisW,agora,sáb,5,10h30,undefined,2023-10-07 00:00:00,2023-08-26 00:00:00,2023-12-02 00:00:00,,,0,manhã
63000013281172,1332,1,shows e espetáculos,1,Música,63,Pompeia,capital,0,0,outros,,Assucena,Lançamento do disco Lusco-Fusco,uma,thisW,agora,qui,3,21h,undefined,2023-10-05 00:00:00,2023-10-05 00:00:00,2023-10-06 00:00:00,,,0,noite
63000013281172,1332,1,shows e espetáculos,1,Música,63,Pompeia,capital,0,0,outros,,Assucena,Lançamento do disco Lusco-Fusco,uma,thisW,agora,sex,4,21h,undefined,2023-10-06 00:00:00,2023-10-05 00:00:00,2023-10-06 00:00:00,,,0,noite
63000013281199,350,1,shows e espetáculos,1,Música,63,Pompeia,capital,0,0,outros,,Hyldon,50 anos de música,uma,thisW,agora,dom,6,18h,undefined,2023-10-08 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00,,,0,noite
63000013281199,350,1,shows e espetáculos,1,Música,63,Pompeia,capital,0,0,outros,,Hyldon,50 anos de música,uma,thisW,agora,sáb,5,21h,undefined,2023-10-07 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00,,,0,noite
