id,lugares,cod_formato,formato,cod_categoria,categoria,cod_uo,unidade,regiao,gratis,ingresso,publico,projeto,nome,complemento,exibirdatas,tempo,tempoF,dia_da_semana,weekday,hora,destaque,sinopse,data_sessao,datainicial,datafinal,tem,dispositivo,dias,online
58000006811616,60,1,shows e espetáculos,4,Dança,58,Pinheiros,capital,0,0,outros,Coisas da Dança,Pantofagia,Com Marta Soares Cia.,uma,nextM,depois,ter,1,20h30,undefined,"Instalação coreográfica que  trata de questões relacionadas à impregnação de  comportamentos animais no humano e ao estado de indistinção que se dá entre corpo e ambiente promovidos nesse processo contínuo e permanente, refletindo sobre as maneiras possíveis do homem conviver com as regras da natureza sem destruí-la.",2023-10-10 00:00:00,2023-10-10 00:00:00,2023-10-25 00:00:00,,,22,0
53000006401824,330,1,shows e espetáculos,4,Dança,53,Santana,capital,0,0,outros,,Before the dawn,Com Yumiko Yoshioka (JAP),uma,nextM,depois,ter,1,20h,undefined,"uma dança de metamorfose, onde as trevas se transformam em luz. Através da sua própria transformação, Yumiko Yoshioka ilumina segredos nos nossos corpos. Criaturas ocultas nas nossas lembranças esquecidas, alegremente começam a reviver. Algo grotesco, mas estranhamente bonito capta a nossa atenção. Não podemos evitar ser cativados por esta força estranha, uma fonte de trevas e de luz.",2023-10-10 00:00:00,2023-10-10 00:00:00,2023-10-11 00:00:00,,,22,0
75000008050815,100,1,shows e espetáculos,7,Literatura,75,Campinas,interior,0,0,outros,,Novo [Na estante],com Rita Carelli,uma,nextM,depois,ter,1,09h,undefined,s/i,2023-10-10 00:00:00,2023-09-19 00:00:00,2023-10-31 00:00:00,,,22,0
75000008009151,50,1,shows e espetáculos,7,Literatura,75,Campinas,interior,0,0,outros,Passa na Praça,Os Cinco Sentidos,Cia Kokelinha,uma,nextM,depois,ter,1,16h30,undefined,"A contação acompanha uma aventura de Miguel, que está preocupado com o tema da sua tarefa escolar: os cinco sentidos. Cansado de tentar procurar sobre eles, ele acaba entrando em uma floresta mágica. Dentro dela, ele deve usar equipamentos de segurança que irão restringir cada um dos seus sentidos. Para recuperá-los ele contará com a ajuda da Dona Aranha, a habitante mais antiga da floresta.",2023-10-10 00:00:00,2023-10-10 00:00:00,2023-10-10 00:00:00,,,22,0
75000007953323,15,1,shows e espetáculos,7,Literatura,75,Campinas,interior,1,0,outros,,[NA ESTANTE] Rita Carelli,com Rita Carelli,uma,nextM,depois,ter,1,09h,undefined,s/i,2023-10-10 00:00:00,2023-09-19 00:00:00,2023-10-31 00:00:00,,,22,0
91000002215943,50,1,shows e espetáculos,7,Literatura,91,Campo Limpo,capital,0,0,outros,,Refresco de Rimas,Com Circo de Trapo,uma,nextM,depois,ter,1,12h,undefined,"Dois artistas/sorveteiros circulam pelos espaços com uma caixa cheia de picolés de papel com poesias refrescantes. As pessoas vão encontrar diversas propostas poéticas: poesias prontas, inacabadas, trágicas e engraçadas que geralmente acabam em música. Cada picolé retirado da caixa de isopor gera uma brincadeira.",2023-10-10 00:00:00,2023-10-03 00:00:00,2023-10-31 00:00:00,,,22,0
66000017383943,15,2,cursos e oficinas,1,Música,66,Vila Mariana,capital,0,0,outros,Centro de Música,Introdução à Linguagem Musical - Turma B [CM 2° SEMESTRE 2023],com Valdir Maia,primeira,nextM,depois,ter,1,14h30,undefined,"Este curso de introdução à linguagem musical destina-se a pessoas que desejam aprender os conceitos fundamentais da música e desenvolver habilidades básicas de leitura, escrita e audição musical. Durante o curso, você será apresentado aos elementos básicos da linguagem musical, incluindo notas, ritmo, tonalidade, harmonia, dinâmica e expressão.",2023-10-10 00:00:00,2023-10-10 00:00:00,2023-11-28 00:00:00,,,22,0
75000007986313,20,2,cursos e oficinas,10,Saúde,75,Campinas,interior,0,0,outros,Mesa Brasil Sesc,Ação educativa Mesa Brasil - Boas práticas na manipulação de alimentos,,primeira,nextM,depois,ter,1,08h30,undefined,"Ação educativa com manipuladores de alimentos das instituições sociais parceiras do Programa Mesa Brasil. Higiene pessoal, higiene ambiental e dos alimentos, estão entre os assuntos compartilhados com o intuito de contribuir com a melhoria de qualidade das refeições ofertadas e redução do desperdício. 03 e 10, terças. Primeira turma das 08h30 às 11h30. Segunda turma das 13h30 às 16h30.",2023-10-10 00:00:00,2023-10-03 00:00:00,2023-10-10 00:00:00,,,22,0
93000005921320,30,2,cursos e oficinas,10,Saúde,93,Jundiaí,interior,0,0,outros,,EspA - A importância do toque a partir das técnicas ayurveda,Massagem para pais e filhos com Thelma Cruz,uma,nextM,depois,ter,1,18h30,undefined,"A ""Importância do toque "" ressalta o contato carinhoso e consciente, criando uma sensação de segurança, amor e conexão entre os pais e os filhos. Essa troca de energia contribui para reduzir o estresse, a ansiedade e a agitação. Com a educadora  especialista Thelma Cruz.",2023-10-10 00:00:00,2023-10-10 00:00:00,2023-10-31 00:00:00,,,22,0
95000002877252,70,2,cursos e oficinas,10,Saúde,95,Osasco,capital,0,0,outros,Mesa Brasil Sesc,Xepa na Mesa,Ação educativa Mesa Brasil,uma,nextM,depois,ter,1,14h30,undefined,Ação destinada para as cozinheiras das instituições parceiras do Mesa Brasil Osasco.,2023-10-10 00:00:00,2023-10-10 00:00:00,2023-10-10 00:00:00,,,22,0
65000003561871,10,2,cursos e oficinas,6,Artes Visuais,65,Av. Paulista,capital,0,0,outros,,Eu em Cartaz: Criação de Cartazes Autobiográficos,Com Delfin e Anita Cavaleiro,primeira,nextM,depois,ter,1,14h30,undefined,"A partir de exercícios práticos utilizando ferramentas digitais, o curso introduzirá fundamentos da linguagem visual para a criação de cartazes inspirados em elementos autobiográficos. Através de referências visuais e teóricas, abordaremos diferentes aspectos do design, apresentando ferramentas gratuitas para a produção gráfica.",2023-10-10 00:00:00,2023-10-10 00:00:00,2023-10-31 00:00:00,,,22,0
75000007891014,15,2,cursos e oficinas,6,Artes Visuais,75,Campinas,interior,0,0,outros,,Caderno de amostra de pontos de bordado,"com Célia Cassiano, Educadora de Tecnologias e Artes",primeira,nextM,depois,ter,1,14h30,undefined,Nessa atividade os participantes aprenderão a fazer um caderno de amostras de bordado com 12 pontos. A primeira aula será para os cortes do tecido e os riscos e a última para a montagem do caderno mostruário. A ausência na primeira aula inviabilizará a participação no curso. Cada participante deverá trazer um bastidor n. 12 ou 14.,2023-10-10 00:00:00,2023-10-10 00:00:00,2023-11-28 00:00:00,,,22,0
75000007914915,15,2,cursos e oficinas,6,Artes Visuais,75,Campinas,interior,0,0,outros,,Escultura digital com Blender,"com Filipe Miranda, educador de tecnologias e artes",primeira,nextM,depois,ter,1,10h,undefined,"Existem diversas formas de criar modelos tridimensionais digitais. Uma delas é a escultura digital. Nessa modalidade, os polígonos e formas virtuais são manipuladas como se fossem um bloco de argila, com diversas ferramentas para moldar e esculpir o que a imaginação criar. Utilizaremos o software livre Blender para aprender mais sobre essa técnica cada dia mais popular.",2023-10-10 00:00:00,2023-10-10 00:00:00,2023-11-07 00:00:00,,,22,0
79000003202409,15,2,cursos e oficinas,6,Artes Visuais,79,Catanduva,interior,0,0,outros,,História da Perfumaria e Arte da Fragrância,"Com Ivan Antoniazzi Andreoli, arte educador do ETA",primeira,nextM,depois,ter,1,19h,undefined,"Este curso oferece uma imersão na história da perfumaria, bem como conhecimentos práticos sobre reconhecimento de notas, experimentação de perfumes icônicos e a oportunidade de criar produtos aromáticos personalizados como um aromatizador de ambientes.",2023-10-10 00:00:00,2023-10-10 00:00:00,2023-10-31 00:00:00,,,22,0
73000005034237,12,2,cursos e oficinas,6,Artes Visuais,73,Guarulhos,capital,0,0,outros,,Bordado Geek: Anime e Mangá,Com Lidia Bardaouil,primeira,nextM,depois,ter,1,14h,undefined,"Curso que une os universos do mangá e do bordado, em que cada participante criará uma peça em tecido com personagens de animações ou quadrinhos.",2023-10-10 00:00:00,2023-10-10 00:00:00,2023-11-14 00:00:00,,,22,0
