id,lugares,cod_formato,formato,cod_categoria,categoria,cod_uo,unidade,regiao,gratis,publico,projeto,nome,complemento,exibirdatas,tempo,tempoF,dia_da_semana,weekday,hora,destaque,foto,data_sessao,datainicial,datafinal,sinopse,ingressos,tem,dispositivo,ingresso,online,turno
70000005234850,30,6,atividade física,14,'+ lazer,70,Santo Amaro,capital,0,outros,,Recreação Aquática,Terca 10h  Quarta 10h  Quinta 10h  Sexta 10h - Livre,uma,nextW,proxima,ter,1,10h,undefined,undefined,2023-10-10 00:00:00,2023-03-28 00:00:00,2023-12-29 00:00:00,s/i,Inscrição - R$ 50.00 / R$ 25.00 /,,,0,0,manhã
70000005234850,30,6,atividade física,14,'+ lazer,70,Santo Amaro,capital,0,outros,,Recreação Aquática,Terca 10h  Quarta 10h  Quinta 10h  Sexta 10h - Livre,uma,thisW,agora,sex,4,10h,undefined,undefined,2023-10-06 00:00:00,2023-03-28 00:00:00,2023-12-29 00:00:00,s/i,Inscrição - R$ 50.00 / R$ 25.00 /,,,0,0,manhã
70000005348524,30,7,serviços,15,Piscina,70,Santo Amaro,capital,0,outros,,Piscina,Terca 10h  Quarta 10h  Quinta 10h  Sexta 10h - Livre,de-ate,sempre,agora,sempre,7,10h,dpiscina,dpiscina,2023-10-06 00:00:00,2023-05-02 00:00:00,2023-12-29 00:00:00,s/i,Inscrição - R$ 50.00 / R$ 25.00 /,,,0,0,consulte
70000005348524,30,7,serviços,15,Piscina,70,Santo Amaro,capital,0,outros,,Piscina,Terca 10h  Quarta 10h  Quinta 10h  Sexta 10h - Livre,de-ate,sempre,proxima,sempre,7,10h,dpiscina,dpiscina,2023-10-10 00:00:00,2023-05-02 00:00:00,2023-12-29 00:00:00,s/i,Inscrição - R$ 50.00 / R$ 25.00 /,,,0,0,consulte
70000005378833,15,2,cursos e oficinas,6,Artes Visuais,70,Santo Amaro,capital,0,crianças,,Compartilhe e edite  suas fotos,,primeira,nextW,proxima,qua,2,09h30,undefined,undefined,2023-10-11 00:00:00,2023-08-23 00:00:00,2023-12-13 00:00:00,"Compartilhe  e edite suas fotos pelo celular ou notebook, altere brilho, contraste, cor, foco, insira textos e desenhos e faça montagens fotográficas. Poste em redes sociais.",(Em branco),,,0,0,manhã
70000005382856,15,2,cursos e oficinas,6,Artes Visuais,70,Santo Amaro,capital,0,outros,,Ateliê para a família: Cartões com colagem e desenho,Com Fabio Bridges,uma,thisW,agora,dom,6,14h,undefined,undefined,2023-10-08 00:00:00,2023-10-08 00:00:00,2023-10-08 00:00:00,"Vamos criar cartões artísticos  utilizando as técnica de colagem e desenho livre, com recortes de imagens e palavras retiradas de jornais e revistas, canetinhas, giz de cera e lápis de cor  Fabio Bridges é jornalista especializado em cultura pop, entusiasta de novas tecnologias e da arte ao alcance de todos.",outros,,,0,0,tarde
70000005386659,15,2,cursos e oficinas,6,Artes Visuais,70,Santo Amaro,capital,0,outros,,Ateliê para a família: quebra cabeça,Com Karina Rhomberg Costa,uma,nextW,proxima,dom,6,14h,undefined,undefined,2023-10-15 00:00:00,2023-10-15 00:00:00,2023-10-15 00:00:00,Partindo da ideia de sempre utilizar materiais recicláveis de fácil acesso vem essa série de oficinas do ateliê para a  família. Utilizando criatividade e palitos de sorvete criaremos um quebra cabeça diferente.,outros,,,0,0,tarde
70000005394129,15,2,cursos e oficinas,6,Artes Visuais,70,Santo Amaro,capital,0,outros,,Árvore Genealógica,com Studioteka,primeira,thisW,agora,sex,4,14h,undefined,undefined,2023-10-06 00:00:00,2023-09-15 00:00:00,2023-10-06 00:00:00,"Um curso diferente, onde os alunos aprenderão a fazer pesquisa genealógica. Além de conhecer a história da família e poder montar a árvore genealógica, é  uma ótima opção para quem almeja o auto-conhecimnento. Acessaremos registros do século passado. Será um curso repleto de emoções.",outros,,,0,0,tarde
70000005500182,100,1,shows e espetáculos,1,Música,70,Santo Amaro,capital,1,outros,Música ao cair da tarde,Alexandre Rodrigues Trio - O Pife Enigmático,,uma,nextW,proxima,sex,4,19h,undefined,undefined,2023-10-13 00:00:00,2023-09-15 00:00:00,2023-10-13 00:00:00,"Alexandre Rodrigues, renomado músico de vasto currículo, tendo gravado com nomes como Dominguinhos, Fafá de Belém e Alceu Valença, traz um inovador trabalho como solista: Alexandre Rodrigues Trio, formado com baixo acústico, guitarra elétrica e pífano.",grátis,,,0,0,noite
70000005549213,20,2,cursos e oficinas,6,Artes Visuais,70,Santo Amaro,capital,0,outros,,Bonecos Inusitados com Rodrigo Motta,,uma,nextW,proxima,sáb,5,15h,undefined,undefined,2023-10-14 00:00:00,2023-10-07 00:00:00,2023-10-28 00:00:00,"Apresenta a possibilidade do participante entender as etapas na criação de um item colecionável, neste caso um boneco.  O participante é convidado a criar este item, partindo de seu formato até sua embalagem na cartela, que funciona como uma legenda para cada boneco. A atividade é totalmente manual e plástica, exigindo do participante atenção e criatividade.",outros,,,0,0,tarde
